x.lo.l,y.lo.l,x.lo.r,y.lo.r,x.med.l,y.med.l,x.med.r,y.med.r,x.hi.l,y.hi.l,x.hi.r,y.hi.r
-1.83680,1.25991,1.88424,-1.24535,-1.79907,1.25982,1.81145,-1.24543,-1.72819,1.25966,1.73495,-1.24559
-1.83680,1.22307,1.84740,-1.20851,-1.79907,1.22298,1.81145,-1.20859,-1.72819,1.22282,1.73495,-1.20875
-1.83680,1.18622,1.88424,-1.17166,-1.79907,1.18614,1.81145,-1.17175,-1.72819,1.18598,1.73495,-1.17191
-1.83680,1.14938,1.88424,-1.13482,-1.79907,1.14930,1.81145,-1.13491,-1.72819,1.14914,1.73495,-1.13507
-1.83680,1.11254,1.88424,-1.09798,-1.79907,1.11245,1.81145,-1.09807,-1.72819,1.11230,1.73495,-1.09822
-1.83680,1.07570,1.88424,-1.06114,-1.79907,1.07561,1.81145,-1.06122,-1.72819,1.07545,1.73495,-1.06138
-1.83680,1.03886,1.88424,-1.02430,-1.79907,1.03877,1.81145,-1.02438,-1.72819,1.03861,1.73495,-1.02454
-1.83680,1.00201,1.88424,-0.98745,-1.79907,1.00193,1.81145,-0.98754,-1.72819,1.00177,1.73495,-0.98770
-1.87364,0.96517,1.84740,-0.95061,-1.79907,0.96509,1.81145,-0.95070,-1.72819,0.96493,1.73495,-0.95086
-1.87364,0.92833,1.84740,-0.91377,-1.79907,0.92824,1.81145,-0.91386,-1.72819,0.92809,1.73495,-0.91401
-1.87364,0.89149,1.84740,-0.87693,-1.79907,0.89140,1.81145,-0.87701,-1.76504,0.89124,1.73495,-0.87717
-1.87364,0.85465,1.84740,-0.84009,-1.79907,0.85456,1.81145,-0.84017,-1.76504,0.85440,1.73495,-0.84033
-1.87364,0.81780,1.84740,-0.80324,-1.79907,0.81772,1.81145,-0.80333,-1.76504,0.81756,1.73495,-0.80349
-1.87364,0.78096,1.84740,-0.76640,-1.79907,0.78088,1.81145,-0.76649,-1.76504,0.78072,1.73495,-0.76665
-1.87364,0.74412,1.84740,-0.72956,-1.83591,0.74403,1.81145,-0.72965,-1.76504,0.74388,1.73495,-0.72980
-1.87364,0.70728,1.84740,-0.69272,-1.83591,0.70719,1.81145,-0.69280,-1.76504,0.70703,1.73495,-0.69296
-1.87364,0.67044,1.84740,-0.65588,-1.83591,0.67035,1.81145,-0.65596,-1.76504,0.67019,1.73495,-0.65612
-1.87364,0.63359,1.84740,-0.61903,-1.83591,0.63351,1.81145,-0.61912,-1.76504,0.63335,1.73495,-0.61928
-1.87364,0.59675,1.84740,-0.58219,-1.79907,0.59667,1.81145,-0.58228,-1.76504,0.59651,1.73495,-0.58244
-1.87364,0.55991,1.84740,-0.54535,-1.83591,0.55982,1.81145,-0.54544,-1.76504,0.55967,1.73495,-0.54559
-1.87364,0.52307,1.84740,-0.50851,-1.83591,0.52298,1.81145,-0.50859,-1.76504,0.52282,1.73495,-0.50875
-1.87364,0.48623,1.84740,-0.47167,-1.79907,0.48614,1.81145,-0.47175,-1.76504,0.48598,1.73495,-0.47191
-1.87364,0.44938,1.84740,-0.43482,-1.79907,0.44930,1.81145,-0.43491,-1.76504,0.44914,1.73495,-0.43507
-1.87364,0.41254,1.84740,-0.39798,-1.79907,0.41246,1.81145,-0.39807,-1.76504,0.41230,1.73495,-0.39823
-1.87364,0.37570,1.84740,-0.36114,-1.79907,0.37561,1.77461,-0.36123,-1.76504,0.37546,1.73495,-0.36138
-1.87364,0.33886,1.84740,-0.32430,-1.79907,0.33877,1.77461,-0.32438,-1.76504,0.33861,1.73495,-0.32454
-1.87364,0.30202,1.84740,-0.28746,-1.79907,0.30193,1.77461,-0.28754,-1.76504,0.30177,1.73495,-0.28770
-1.87364,0.26517,1.84740,-0.25061,-1.79907,0.26509,1.77461,-0.25070,-1.76504,0.26493,1.73495,-0.25086
-1.87364,0.22833,1.84740,-0.21377,-1.83591,0.22825,1.77461,-0.21386,-1.76504,0.22809,1.73495,-0.21402
-1.87364,0.19149,1.84740,-0.17693,-1.83591,0.19140,1.77461,-0.17702,-1.76504,0.19125,1.73495,-0.17717
-1.87364,0.15465,1.84740,-0.14009,-1.83591,0.15456,1.77461,-0.14017,-1.76504,0.15440,1.73495,-0.14033
-1.87364,0.11781,1.84740,-0.10325,-1.83591,0.11772,1.77461,-0.10333,-1.76504,0.11756,1.73495,-0.10349
-1.87364,8.09649E-02,1.84740,-6.64031E-02,-1.83591,8.08772E-02,1.77461,-6.64908E-02,-1.76504,8.07196E-02,1.73495,-6.66484E-02
-1.87364,4.41229E-02,1.84740,-2.95611E-02,-1.83591,4.40352E-02,1.77461,-2.96488E-02,-1.76504,4.38776E-02,1.73495,-2.98064E-02
-1.91048,7.28086E-03,1.84740,7.28086E-03,-1.83591,7.19323E-03,1.77461,7.19323E-03,-1.76504,7.03562E-03,1.73495,7.03562E-03
-1.87364,-2.95611E-02,1.84740,4.41229E-02,-1.83591,-2.96488E-02,1.77461,4.40352E-02,-1.76504,-2.98064E-02,1.73495,4.38776E-02
-1.87364,-6.64031E-02,1.84740,8.09649E-02,-1.83591,-6.64908E-02,1.77461,8.08772E-02,-1.76504,-6.66484E-02,1.73495,8.07196E-02
-1.87364,-0.10325,1.84740,0.11781,-1.83591,-0.10333,1.77461,0.11772,-1.76504,-0.10349,1.73495,0.11756
